Base_Aircraft_ICAO,Base_Aircraft_Name,Airframe_Internal_ID,Airframe_Name,Registration,Fin_Number,Engines,Max_Passengers,OEW_kgs,MZFW_kgs,MTOW_kgs,MLW_kgs,Max_Fuel_kgs,Default_Cruise,Default_Climb,Default_Descent,Comments
B764,B767-400ER,B764,B767-400ER,N416SB,416,CF6-80C2B8F,296,229600,330000,450000,350000,161738,,,,Default
B772,B777-200ER,B772,B777-200ER,N755SB,755,GE90-94B,320,312800,442000,656000,470000,301500,,,,Default
B772,B777-200ER,746599_1746124710590,B777-200ER,N772GE,755,GE90-94B,294,306180,440000,652000,460000,302980,CI,250/310/84,84/310/250,PMDG (MSFS) - GE90-94B - Default MTOW [credit: PMDG Official]
B772,B777-200ER,746599_1744312486882,B777-200ER,N772GE,755,GE90-94B,294,306180,440000,660000,460000,302980,CI,250/310/84,84/310/250,"PMDG (MSFS) - GE90-94B - 660,000 MTOW [credit: PMDG Official]"
B772,B777-200ER,746599_1746124786757,B777-200ER,N772PW,755,PW4092,294,302980,440000,652000,460000,302980,CI,250/310/84,84/310/250,PMDG (MSFS) - PW4092 - Default MTOW [credit: PMDG Official]
B772,B777-200ER,746599_1744313087352,B777-200ER,N772PW,755,PW4092,294,302980,440000,660000,460000,302980,CI,250/310/84,84/310/250,"PMDG (MSFS) - PW4092 - 660,000 MTOW [credit: PMDG Official]"
B772,B777-200ER,746599_1746124811511,B777-200ER,N772RR,755,RR TRENT 892,294,300680,440000,652000,460000,302980,CI,250/310/84,84/310/250,PMDG (MSFS) - Trent 892 - Default MTOW [credit: PMDG Official]
B772,B777-200ER,746599_1744312960814,B777-200ER,N772RR,755,RR TRENT 892,294,300680,440000,660000,460000,302980,CI,250/310/84,84/310/250,"PMDG (MSFS) - Trent 892 - 660,000 MTOW [credit: PMDG Official]"
B77L,B777-F,B77F,B777-F,N715SB,715,GE90-110B1,25,311800,547000,766800,575000,358500,,,,Default
B77L,B777-F,746599_1746819859336,B777-F,N777F,715,GE90-110B1,4,318680,547000,766800,575000,320831,CI,250/310/84,84/310/250,"PMDG (MSFS) - 766,800 MTOW [credit: PMDG Official]"
B77L,B777-200LR,B77L,B777-200LR,N712SB,712,GE90-110B1,320,344224,461000,766000,492000,358500,,,,Default
B77L,B777-200LR,746599_1753738749642,B777-200LR,N772LR,712,GE90-110B1,297,345904,461000,768000,492000,320831,CI,250/310/84,84/310/250,PMDG (MSFS) - Standard [credit: PMDG Official]
B77L,B777-200LR,746599_1753738970927,B777-200LR,N772LR,712,GE90-110B1,297,345904,461000,768000,492000,333428,CI,250/310/84,84/310/250,PMDG (MSFS) - 1 Aux Tank [credit: PMDG Official]
B77L,B777-200LR,746599_1753739047124,B777-200LR,N772LR,712,GE90-110B1,297,345904,461000,768000,492000,358513,CI,250/310/84,84/310/250,PMDG (MSFS) - 3 Aux Tank [credit: PMDG Official]
B77W,B777-300ER,B77W,B777-300ER,N713SB,713,GE90-115BL2,386,369365,524000,775000,554000,320200,,,,Default
B77W,B777-300ER,746599_1746818579488,B777-300ER,N773ER,713,GE90-115BL2,370,371680,524000,777000,554000,320800,CI,250/310/84,84/310/250,"PMDG (MSFS) - 777,000 MTOW [credit: PMDG Official]"
B788,B787-8,B788,B787-8,N888SB,888,GENX-1B70,300,267294,355000,502500,380000,223378,,,,Default
B788,B787-8,337573_1689936264695,B787-8,G-ZBJH,1123,,214,119950,161025,227930,172365,101456,,,,Kuro (MSFS) - B787-8 [credit: Kurorin]
B788,B787-8,138759_1730423016353,B787-8,N788BA,003,GENX-1B70,227,121243,161025,227930,172365,101343,CI,250/310/85,85/310/250,BravoAirspace (MSFS) - GEnx-1B70 [credit: francisjohannes]
B788,B787-8,138759_1730465397659,B787-8,N788BA,002,TRENT 1000,227,121243,161025,227930,172365,101343,CI,250/310/85,85/310/250,BravoAirspace (MSFS) - Trent 1000 [credit: francisjohannes]
B789,B787-9,B789,B787-9,N899SB,899,GENX-1B74,350,287894,400000,560000,425000,223673,,,,Default
B789,B787-9,138759_1732154419165,B787-9,N787BA,004,GENX-1B74,237,287894,400000,560000,425000,223773,CI,250/310/85,85/310/250,BravoAirspace (MSFS) - GEnx-1B74 [credit: francisjohannes]
B789,B787-9,138759_1733673424348,B787-9,N787BA,005,TRENT 1000,237,287894,400000,560000,425000,223773,CI,250/310/85,85/310/250,BravoAirspace (MSFS) - Trent 1000 [credit: francisjohannes]
B789,B787-9,444203_1731579644533,B787-9,HS-SIM,899,GENX-1B70/75/P2,338,128850,181436,254692,192776,101522,CI,250/310/85,85/310/250,Horizon Simulations (MSFS) - GEnx-1B 
B789,B787-9,444203_1731579635949,B787-9,HS-SIM,899,TRENT 1000-D3,338,128850,181436,254692,192776,101522,CI,250/310/85,85/310/250,Horizon Simulations (MSFS) - Trent 1000
B78X,B787-10,B78X,B787-10,N891SB,891,GENX-1B76,390,301227,425000,560000,445000,223646,,,,Default
B78X,B787-10,349674_1684628774433,B787-10,ASWT787,,TRENT 1000-R,344,298700,425000,557000,445000,223673,CI,250/310/85,85/310/250,Working Title (MSFS) - 787-10 [credit: Awemeter]
BE9L,King Air C90B,BE9L,King Air C90B,N090SB,090,PT6A-21,7,6536,10100,10100,9600,2573,,,,Default
BE20,King Air 200,BE20,King Air 200,N201SB,201,PT6A-41,9,8530,11000,12500,12500,3645,,,,Default
BE24,Beechcraft C24R,BE24,Beechcraft C24R,N240SB,240,IO-360-A1B6,3,2081,2750,2750,2750,359,,,,Default
BE36,Bonanza A36,BE36,Bonanza A36,N036SB,036,IO-550-B,5,2145,3600,3600,3600,445,,,,Default
BT36,Bonanza B36TC,BT36,Bonanza B36TC,N037SB,037,TSIO-520-UB,5,2215,4030,4030,4030,625,,,,Default
B36T,Bonanza B36TP,B36T,Bonanza B36TP,N038SB,038,PT6A-21,5,2355,4050,4050,4050,791,,,,Default
BE58,Baron 58,BE58,Baron 58,N058SB,058,IO-520-C,5,3965,5400,5400,5400,1164,,,,Default
B58T,Baron 58P,B58T,Baron 58P,N059SB,059,TSIO-520-WB,5,4010,6200,6200,6200,1176,,,,Default
